308, 268, 20.642
307, 268, 5.244
307, 268, 3.473
306, 268, 5.768
305, 267, 4.348
305, 267, 3.273
304, 267, 4.273
304, 267, 3.427
303, 267, 5.476
303, 267, 4.819
302, 267, 3.591
302, 267, 3.099
301, 267, 0.341
300, 267, 0.236
300, 267, 0.217
299, 267, 0.219
299, 267, 0.216
298, 267, 0.219
298, 267, 0.208
297, 267, 0.215
296, 266, 0.278
296, 266, 0.196
295, 266, 0.204
295, 266, 0.196
294, 266, 0.207
294, 266, 0.195
293, 266, 0.194
293, 266, 0.192
292, 266, 0.203
291, 266, 0.205
291, 266, 0.222
290, 266, 0.281
291, 266, 0.210
291, 266, 0.195
292, 265, 0.255
292, 265, 0.198
293, 265, 0.212
294, 265, 5.759
294, 265, 4.938
295, 265, 5.346
295, 265, 4.843
296, 265, 0.317
296, 265, 0.223
297, 265, 5.652
297, 264, 3.833
298, 264, 5.223
298, 264, 4.801
299, 264, 4.735
300, 264, 5.348
300, 264, 4.833
301, 264, 3.413
301, 264, 3.129
302, 264, 3.411
302, 263, 3.451
303, 263, 3.481
303, 263, 3.225
304, 263, 3.507
305, 263, 5.095
305, 263, 4.945
306, 263, 3.799
306, 263, 3.047
307, 263, 3.025
307, 263, 2.863
308, 262, 5.395
308, 263, 5.282
308, 264, 4.885
308, 264, 4.783
308, 265, 4.299
308, 266, 3.453
308, 266, 3.156
308, 267, 4.908
308, 268, 5.270
308, 268, 9.779
307, 268, 3.759
307, 268, 3.297
306, 268, 9.350
305, 267, 3.813
305, 267, 3.213
304, 267, 3.770
304, 267, 3.297
303, 267, 8.225
303, 267, 7.965
302, 267, 3.472
302, 267, 3.191
301, 267, 0.325
300, 267, 0.266
300, 267, 0.281
299, 267, 0.264
299, 267, 0.255
298, 267, 0.261
298, 267, 0.259
297, 267, 0.258
296, 266, 0.229
296, 266, 0.247
295, 266, 0.232
295, 266, 0.250
294, 266, 0.242
294, 266, 0.239
293, 266, 0.215
293, 266, 0.223
292, 266, 0.229
291, 266, 0.215
291, 266, 0.242
290, 266, 0.245
291, 266, 0.233
291, 266, 0.229
292, 265, 0.245
292, 265, 0.232
293, 265, 0.226
294, 265, 8.267
294, 265, 8.114
295, 265, 8.184
295, 265, 7.837
296, 265, 0.321
296, 265, 0.302
297, 265, 8.241
297, 264, 3.656
298, 264, 7.720
298, 264, 7.867
299, 264, 7.652
300, 264, 7.915
300, 264, 8.677
